"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
40116,,,"","MAGC1$",,"<topic human="""" code=""MAGC1$"" num=""40116"" />",,,,,,
40117,,,"","MABPR$",,"<topic human="""" code=""MABPR$"" num=""40117"" />",,,,,,
40118,"Fixed Income Portfolio Stories",,"MP$FI$=40118:100","MP$FI$",,"<topic human=""Fixed Income Portfolio Stories"" code=""MP$FI$"" num=""40118"" />",,,,,,
40119,,,"","M$E$$$",,"<topic human="""" code=""M$E$$$"" num=""40119"" />",,,,,,
40120,,,"","MAXBN$",,"<topic human="""" code=""MAXBN$"" num=""40120"" />",,,,,,
40121,,,"","MAXBM$",,"<topic human="""" code=""MAXBM$"" num=""40121"" />",,,,,,
40122,,,"","MAUZ2$",,"<topic human="""" code=""MAUZ2$"" num=""40122"" />",,,,,,
40123,,,"","MAUV0$",,"<topic human="""" code=""MAUV0$"" num=""40123"" />",,,,,,
40124,,,"","MAUN9$",,"<topic human="""" code=""MAUN9$"" num=""40124"" />",,,,,,
40125,,,"","MAUH4$",,"<topic human="""" code=""MAUH4$"" num=""40125"" />",,,,,,
40126,,,"","MAUH3$",,"<topic human="""" code=""MAUH3$"" num=""40126"" />",,,,,,
40127,,,"","MAUH2$",,"<topic human="""" code=""MAUH2$"" num=""40127"" />",,,,,,
40128,,,"","MAUFP$",,"<topic human="""" code=""MAUFP$"" num=""40128"" />",,,,,,
40129,,,"","MAIEF$",,"<topic human="""" code=""MAIEF$"" num=""40129"" />",,,,,,
40130,,,"","MAICG$",,"<topic human="""" code=""MAICG$"" num=""40130"" />",,,,,,
40131,,,"","MAICA$",,"<topic human="""" code=""MAICA$"" num=""40131"" />",,,,,,
40132,,,"","MAIAI$",,"<topic human="""" code=""MAIAI$"" num=""40132"" />",,,,,,
40133,,,"","MAGPL$",,"<topic human="""" code=""MAGPL$"" num=""40133"" />",,,,,,
40134,,,"","MAFDV$",,"<topic human="""" code=""MAFDV$"" num=""40134"" />",,,,,,
40135,,,"","MAFAS$",,"<topic human="""" code=""MAFAS$"" num=""40135"" />",,,,,,
40136,,,"","MACCP$",,"<topic human="""" code=""MACCP$"" num=""40136"" />",,,,,,
40137,,,"","MABT3$",,"<topic human="""" code=""MABT3$"" num=""40137"" />",,,,,,
40138,,,"","MABP3$",,"<topic human="""" code=""MABP3$"" num=""40138"" />",,,,,,
40139,,,"","MABP2$",,"<topic human="""" code=""MABP2$"" num=""40139"" />",,,,,,
40140,,,"","MABP1$",,"<topic human="""" code=""MABP1$"" num=""40140"" />",,,,,,
40141,,,"","MABM1$",,"<topic human="""" code=""MABM1$"" num=""40141"" />",,,,,,
40142,,,"","MABC3$",,"<topic human="""" code=""MABC3$"" num=""40142"" />",,,,,,
40143,,,"","MABC2$",,"<topic human="""" code=""MABC2$"" num=""40143"" />",,,,,,
40144,,,"","MABC1$",,"<topic human="""" code=""MABC1$"" num=""40144"" />",,,,,,
40145,,,"","MAUN3$",,"<topic human="""" code=""MAUN3$"" num=""40145"" />",,,,,,
40146,,,"","MAUL0$",,"<topic human="""" code=""MAUL0$"" num=""40146"" />",,,,,,
40147,,,"","MAGSG$",,"<topic human="""" code=""MAGSG$"" num=""40147"" />",,,,,,
40148,,,"","MAGSF$",,"<topic human="""" code=""MAGSF$"" num=""40148"" />",,,,,,
40149,,,"","MAFAN$",,"<topic human="""" code=""MAFAN$"" num=""40149"" />",,,,,,
40150,,,"","MAFAM$",,"<topic human="""" code=""MAFAM$"" num=""40150"" />",,,,,,
40151,,,"","MAFAD$",,"<topic human="""" code=""MAFAD$"" num=""40151"" />",,,,,,
40152,,,"","MACLF$",,"<topic human="""" code=""MACLF$"" num=""40152"" />",,,,,,
40153,,,"","MACGD$",,"<topic human="""" code=""MACGD$"" num=""40153"" />",,,,,,
40154,"UK Data Stories",,"MABDS$=40154:100","MABDS$",,"<topic human=""UK Data Stories"" code=""MABDS$"" num=""40154"" />",,,,,,
40155,,,"","MABC5$",,"<topic human="""" code=""MABC5$"" num=""40155"" />",,,,,,
40156,,,"","MNSFED",,"<topic human="""" code=""MNSFED"" num=""40156"" />",,,,,,
40157,,,"","MAXCR$",,"<topic human="""" code=""MAXCR$"" num=""40157"" />",,,,,,
40158,,,"","MAXCM$",,"<topic human="""" code=""MAXCM$"" num=""40158"" />",,,,,,
40159,,,"","MAXBO$",,"<topic human="""" code=""MAXBO$"" num=""40159"" />",,,,,,
40160,,,"","MAUZ3$",,"<topic human="""" code=""MAUZ3$"" num=""40160"" />",,,,,,
40161,,,"","MAUW2$",,"<topic human="""" code=""MAUW2$"" num=""40161"" />",,,,,,
40162,,,"","MAUW0$",,"<topic human="""" code=""MAUW0$"" num=""40162"" />",,,,,,
40163,,,"","MAUT9$",,"<topic human="""" code=""MAUT9$"" num=""40163"" />",,,,,,
40164,,,"","MAUT8$",,"<topic human="""" code=""MAUT8$"" num=""40164"" />",,,,,,
40165,,,"","MAUT7$",,"<topic human="""" code=""MAUT7$"" num=""40165"" />",,,,,,
40166,,,"","MAUT4$",,"<topic human="""" code=""MAUT4$"" num=""40166"" />",,,,,,
40167,,,"","MAUT2$",,"<topic human="""" code=""MAUT2$"" num=""40167"" />",,,,,,
40168,,,"","MAUT1$",,"<topic human="""" code=""MAUT1$"" num=""40168"" />",,,,,,
40169,,,"","MAUT0$",,"<topic human="""" code=""MAUT0$"" num=""40169"" />",,,,,,
40170,,,"","MAUL3$",,"<topic human="""" code=""MAUL3$"" num=""40170"" />",,,,,,
40171,,,"","MAUL2$",,"<topic human="""" code=""MAUL2$"" num=""40171"" />",,,,,,
40172,,,"","MAUL1$",,"<topic human="""" code=""MAUL1$"" num=""40172"" />",,,,,,
40173,,,"","MAUG6$",,"<topic human="""" code=""MAUG6$"" num=""40173"" />",,,,,,
40174,,,"","MAUG5$",,"<topic human="""" code=""MAUG5$"" num=""40174"" />",,,,,,
40175,,,"","MAUG3$",,"<topic human="""" code=""MAUG3$"" num=""40175"" />",,,,,,
40176,,,"","MAUG2$",,"<topic human="""" code=""MAUG2$"" num=""40176"" />",,,,,,
40177,,,"","MAUG1$",,"<topic human="""" code=""MAUG1$"" num=""40177"" />",,,,,,
40178,,,"","MAU9C$",,"<topic human="""" code=""MAU9C$"" num=""40178"" />",,,,,,
40179,,,"","MAU6T$",,"<topic human="""" code=""MAU6T$"" num=""40179"" />",,,,,,
40180,,,"","MAU5T$",,"<topic human="""" code=""MAU5T$"" num=""40180"" />",,,,,,
40181,,,"","MAU5H$",,"<topic human="""" code=""MAU5H$"" num=""40181"" />",,,,,,
40182,,,"","MAU4T$",,"<topic human="""" code=""MAU4T$"" num=""40182"" />",,,,,,
40183,,,"","MAU3T$",,"<topic human="""" code=""MAU3T$"" num=""40183"" />",,,,,,
40184,,,"","MAU2Z$",,"<topic human="""" code=""MAU2Z$"" num=""40184"" />",,,,,,
40185,,,"","MAU2T$",,"<topic human="""" code=""MAU2T$"" num=""40185"" />",,,,,,
40186,,,"","MAU1T$",,"<topic human="""" code=""MAU1T$"" num=""40186"" />",,,,,,
40187,,,"","MAU0T$",,"<topic human="""" code=""MAU0T$"" num=""40187"" />",,,,,,
40188,,,"","MAU0C$",,"<topic human="""" code=""MAU0C$"" num=""40188"" />",,,,,,
40189,,,"","MAIEC$",,"<topic human="""" code=""MAIEC$"" num=""40189"" />",,,,,,
40190,,,"","MAICE$",,"<topic human="""" code=""MAICE$"" num=""40190"" />",,,,,,
40191,,,"","MAICC$",,"<topic human="""" code=""MAICC$"" num=""40191"" />",,,,,,
40192,,,"","MAIAC$",,"<topic human="""" code=""MAIAC$"" num=""40192"" />",,,,,,
40193,,,"","MAGU1$",,"<topic human="""" code=""MAGU1$"" num=""40193"" />",,,,,,
40194,,,"","MAGTA$",,"<topic human="""" code=""MAGTA$"" num=""40194"" />",,,,,,
40195,,,"","MAGPS$",,"<topic human="""" code=""MAGPS$"" num=""40195"" />",,,,,,
40196,,,"","MAGPM$",,"<topic human="""" code=""MAGPM$"" num=""40196"" />",,,,,,
40197,,,"","MAGIG$",,"<topic human="""" code=""MAGIG$"" num=""40197"" />",,,,,,
40198,,,"","MAGIF$",,"<topic human="""" code=""MAGIF$"" num=""40198"" />",,,,,,
40199,,,"","MAGDQ$",,"<topic human="""" code=""MAGDQ$"" num=""40199"" />",,,,,,
40200,,,"","MAGCR$",,"<topic human="""" code=""MAGCR$"" num=""40200"" />",,,,,,
40201,,,"","MAGCA$",,"<topic human="""" code=""MAGCA$"" num=""40201"" />",,,,,,
40202,,,"","MAFCB$",,"<topic human="""" code=""MAFCB$"" num=""40202"" />",,,,,,
40203,,,"","MAFCA$",,"<topic human="""" code=""MAFCA$"" num=""40203"" />",,,,,,
40204,,,"","MAFBZ$",,"<topic human="""" code=""MAFBZ$"" num=""40204"" />",,,,,,
40205,,,"","MACWS$",,"<topic human="""" code=""MACWS$"" num=""40205"" />",,,,,,
40206,,,"","MACTR$",,"<topic human="""" code=""MACTR$"" num=""40206"" />",,,,,,
40207,,,"","MACR1$",,"<topic human="""" code=""MACR1$"" num=""40207"" />",,,,,,
40208,,,"","MABG1$",,"<topic human="""" code=""MABG1$"" num=""40208"" />",,,,,,
40209,,,"","M$XDT$",,"<topic human="""" code=""M$XDT$"" num=""40209"" />",,,,,,
40210,,,"","M$XD$$",,"<topic human="""" code=""M$XD$$"" num=""40210"" />",,,,,,
40211,,,"","MFADS$",,"<topic human="""" code=""MFADS$"" num=""40211"" />",,,,,,
40212,,,"","MAXCE$",,"<topic human="""" code=""MAXCE$"" num=""40212"" />",,,,,,
40213,,,"","MAXCD$",,"<topic human="""" code=""MAXCD$"" num=""40213"" />",,,,,,
40214,,,"","MAXCC$",,"<topic human="""" code=""MAXCC$"" num=""40214"" />",,,,,,
40215,,,"","MAXCB$",,"<topic human="""" code=""MAXCB$"" num=""40215"" />",,,,,,
40216,,,"","MAXCA$",,"<topic human="""" code=""MAXCA$"" num=""40216"" />",,,,,,
40217,,,"","MAXBZ$",,"<topic human="""" code=""MAXBZ$"" num=""40217"" />",,,,,,
40218,,,"","MAXBY$",,"<topic human="""" code=""MAXBY$"" num=""40218"" />",,,,,,
40219,,,"","MAXBX$",,"<topic human="""" code=""MAXBX$"" num=""40219"" />",,,,,,
40220,,,"","MAXBW$",,"<topic human="""" code=""MAXBW$"" num=""40220"" />",,,,,,
40221,,,"","MAXBQ$",,"<topic human="""" code=""MAXBQ$"" num=""40221"" />",,,,,,
40222,,,"","MAXBL$",,"<topic human="""" code=""MAXBL$"" num=""40222"" />",,,,,,
40223,,,"","MAXBH$",,"<topic human="""" code=""MAXBH$"" num=""40223"" />",,,,,,
40224,,,"","MAXBE$",,"<topic human="""" code=""MAXBE$"" num=""40224"" />",,,,,,
40225,,,"","MAXBC$",,"<topic human="""" code=""MAXBC$"" num=""40225"" />",,,,,,
40226,,,"","MAXAO$",,"<topic human="""" code=""MAXAO$"" num=""40226"" />",,,,,,
40227,,,"","MAXAL$",,"<topic human="""" code=""MAXAL$"" num=""40227"" />",,,,,,
40228,,,"","MAXAJ$",,"<topic human="""" code=""MAXAJ$"" num=""40228"" />",,,,,,
40229,,,"","MAUV8$",,"<topic human="""" code=""MAUV8$"" num=""40229"" />",,,,,,
40230,,,"","MAUV7$",,"<topic human="""" code=""MAUV7$"" num=""40230"" />",,,,,,
40231,,,"","MAUV6$",,"<topic human="""" code=""MAUV6$"" num=""40231"" />",,,,,,
40232,,,"","MAUV5$",,"<topic human="""" code=""MAUV5$"" num=""40232"" />",,,,,,
40233,,,"","MAUV4$",,"<topic human="""" code=""MAUV4$"" num=""40233"" />",,,,,,
40234,,,"","MAUV3$",,"<topic human="""" code=""MAUV3$"" num=""40234"" />",,,,,,
40235,,,"","MAUV2$",,"<topic human="""" code=""MAUV2$"" num=""40235"" />",,,,,,
40236,,,"","MAUV1$",,"<topic human="""" code=""MAUV1$"" num=""40236"" />",,,,,,
40237,,,"","MAUR0$",,"<topic human="""" code=""MAUR0$"" num=""40237"" />",,,,,,
40238,,,"","MAUP9$",,"<topic human="""" code=""MAUP9$"" num=""40238"" />",,,,,,
40239,,,"","MAUP8$",,"<topic human="""" code=""MAUP8$"" num=""40239"" />",,,,,,
40240,,,"","MAUP6$",,"<topic human="""" code=""MAUP6$"" num=""40240"" />",,,,,,
40241,,,"","MAUP5$",,"<topic human="""" code=""MAUP5$"" num=""40241"" />",,,,,,
40242,,,"","MAUP4$",,"<topic human="""" code=""MAUP4$"" num=""40242"" />",,,,,,
40243,,,"","MAUP3$",,"<topic human="""" code=""MAUP3$"" num=""40243"" />",,,,,,
40244,,,"","MAUP1$",,"<topic human="""" code=""MAUP1$"" num=""40244"" />",,,,,,
40245,,,"","MAUP0$",,"<topic human="""" code=""MAUP0$"" num=""40245"" />",,,,,,
40246,,,"","MAUN5$",,"<topic human="""" code=""MAUN5$"" num=""40246"" />",,,,,,
40247,,,"","MAUN4$",,"<topic human="""" code=""MAUN4$"" num=""40247"" />",,,,,,
40248,,,"","MAUN2$",,"<topic human="""" code=""MAUN2$"" num=""40248"" />",,,,,,
40249,,,"","MAUK5$",,"<topic human="""" code=""MAUK5$"" num=""40249"" />",,,,,,
40250,,,"","MAUK4$",,"<topic human="""" code=""MAUK4$"" num=""40250"" />",,,,,,
40251,,,"","MAUK1$",,"<topic human="""" code=""MAUK1$"" num=""40251"" />",,,,,,
40252,,,"","MAUK0$",,"<topic human="""" code=""MAUK0$"" num=""40252"" />",,,,,,
40253,,,"","MAUH5$",,"<topic human="""" code=""MAUH5$"" num=""40253"" />",,,,,,
40254,,,"","MAUH1$",,"<topic human="""" code=""MAUH1$"" num=""40254"" />",,,,,,
40255,,,"","MAUH0$",,"<topic human="""" code=""MAUH0$"" num=""40255"" />",,,,,,
40256,,,"","MAUG9$",,"<topic human="""" code=""MAUG9$"" num=""40256"" />",,,,,,
40257,,,"","MAUF7$",,"<topic human="""" code=""MAUF7$"" num=""40257"" />",,,,,,
40258,,,"","MAUF6$",,"<topic human="""" code=""MAUF6$"" num=""40258"" />",,,,,,
40259,,,"","MAUF5$",,"<topic human="""" code=""MAUF5$"" num=""40259"" />",,,,,,
40260,,,"","MAUF4$",,"<topic human="""" code=""MAUF4$"" num=""40260"" />",,,,,,
40261,,,"","MAUF3$",,"<topic human="""" code=""MAUF3$"" num=""40261"" />",,,,,,
40262,,,"","MAUF2$",,"<topic human="""" code=""MAUF2$"" num=""40262"" />",,,,,,
40263,,,"","MAUF1$",,"<topic human="""" code=""MAUF1$"" num=""40263"" />",,,,,,
40264,,,"","MAUF0$",,"<topic human="""" code=""MAUF0$"" num=""40264"" />",,,,,,
40265,,,"","MAUE9$",,"<topic human="""" code=""MAUE9$"" num=""40265"" />",,,,,,
40266,,,"","MAUE8$",,"<topic human="""" code=""MAUE8$"" num=""40266"" />",,,,,,
40267,,,"","MAUE7$",,"<topic human="""" code=""MAUE7$"" num=""40267"" />",,,,,,
40268,,,"","MAUE6$",,"<topic human="""" code=""MAUE6$"" num=""40268"" />",,,,,,
40269,,,"","MAUE5$",,"<topic human="""" code=""MAUE5$"" num=""40269"" />",,,,,,
40270,,,"","MAUE4$",,"<topic human="""" code=""MAUE4$"" num=""40270"" />",,,,,,
40271,,,"","MAUE3$",,"<topic human="""" code=""MAUE3$"" num=""40271"" />",,,,,,
40272,,,"","MAUE2$",,"<topic human="""" code=""MAUE2$"" num=""40272"" />",,,,,,
40273,,,"","MAUE1$",,"<topic human="""" code=""MAUE1$"" num=""40273"" />",,,,,,
40274,,,"","MAUE0$",,"<topic human="""" code=""MAUE0$"" num=""40274"" />",,,,,,
40275,,,"","MAUC5$",,"<topic human="""" code=""MAUC5$"" num=""40275"" />",,,,,,
40276,,,"","MAUC4$",,"<topic human="""" code=""MAUC4$"" num=""40276"" />",,,,,,
40277,,,"","MAUC3$",,"<topic human="""" code=""MAUC3$"" num=""40277"" />",,,,,,
40278,,,"","MAUC2$",,"<topic human="""" code=""MAUC2$"" num=""40278"" />",,,,,,
40279,,,"","MAUC1$",,"<topic human="""" code=""MAUC1$"" num=""40279"" />",,,,,,
40280,,,"","MAUC0$",,"<topic human="""" code=""MAUC0$"" num=""40280"" />",,,,,,
40281,,,"","MAUB4$",,"<topic human="""" code=""MAUB4$"" num=""40281"" />",,,,,,
40282,,,"","MAUB3$",,"<topic human="""" code=""MAUB3$"" num=""40282"" />",,,,,,
40283,,,"","MAUA4$",,"<topic human="""" code=""MAUA4$"" num=""40283"" />",,,,,,
40284,,,"","MAUA0$",,"<topic human="""" code=""MAUA0$"" num=""40284"" />",,,,,,
40285,,,"","MAU9E$",,"<topic human="""" code=""MAU9E$"" num=""40285"" />",,,,,,
40286,,,"","MAU8E$",,"<topic human="""" code=""MAU8E$"" num=""40286"" />",,,,,,
40287,,,"","MAU7E$",,"<topic human="""" code=""MAU7E$"" num=""40287"" />",,,,,,
40288,,,"","MAU7C$",,"<topic human="""" code=""MAU7C$"" num=""40288"" />",,,,,,
40289,,,"","MAU6H$",,"<topic human="""" code=""MAU6H$"" num=""40289"" />",,,,,,
40290,,,"","MAU6E$",,"<topic human="""" code=""MAU6E$"" num=""40290"" />",,,,,,
40291,,,"","MAU5E$",,"<topic human="""" code=""MAU5E$"" num=""40291"" />",,,,,,
40292,,,"","MAU4E$",,"<topic human="""" code=""MAU4E$"" num=""40292"" />",,,,,,
40293,,,"","MAU4C$",,"<topic human="""" code=""MAU4C$"" num=""40293"" />",,,,,,
40294,,,"","MAU3L$",,"<topic human="""" code=""MAU3L$"" num=""40294"" />",,,,,,
40295,,,"","MAU3H$",,"<topic human="""" code=""MAU3H$"" num=""40295"" />",,,,,,
40296,,,"","MAU3E$",,"<topic human="""" code=""MAU3E$"" num=""40296"" />",,,,,,
40297,,,"","MAU3C$",,"<topic human="""" code=""MAU3C$"" num=""40297"" />",,,,,,
40298,,,"","MAU2P$",,"<topic human="""" code=""MAU2P$"" num=""40298"" />",,,,,,
40299,,,"","MAU2L$",,"<topic human="""" code=""MAU2L$"" num=""40299"" />",,,,,,
40300,,,"","MAU2E$",,"<topic human="""" code=""MAU2E$"" num=""40300"" />",,,,,,
40301,,,"","MAU2C$",,"<topic human="""" code=""MAU2C$"" num=""40301"" />",,,,,,
40302,,,"","MAU1Z$",,"<topic human="""" code=""MAU1Z$"" num=""40302"" />",,,,,,
40303,,,"","MAU1U$",,"<topic human="""" code=""MAU1U$"" num=""40303"" />",,,,,,
40304,,,"","MAU1P$",,"<topic human="""" code=""MAU1P$"" num=""40304"" />",,,,,,
40305,,,"","MAU1L$",,"<topic human="""" code=""MAU1L$"" num=""40305"" />",,,,,,
40306,,,"","MAU1E$",,"<topic human="""" code=""MAU1E$"" num=""40306"" />",,,,,,
40307,,,"","MAU1C$",,"<topic human="""" code=""MAU1C$"" num=""40307"" />",,,,,,
40308,,,"","MAU0Z$",,"<topic human="""" code=""MAU0Z$"" num=""40308"" />",,,,,,
40309,,,"","MAU0U$",,"<topic human="""" code=""MAU0U$"" num=""40309"" />",,,,,,
40310,,,"","MAU0R$",,"<topic human="""" code=""MAU0R$"" num=""40310"" />",,,,,,
40311,,,"","MAU0P$",,"<topic human="""" code=""MAU0P$"" num=""40311"" />",,,,,,
40312,,,"","MAU0L$",,"<topic human="""" code=""MAU0L$"" num=""40312"" />",,,,,,
40313,,,"","MAU0E$",,"<topic human="""" code=""MAU0E$"" num=""40313"" />",,,,,,
40314,,,"","MAIEG$",,"<topic human="""" code=""MAIEG$"" num=""40314"" />",,,,,,
40315,,,"","MAIED$",,"<topic human="""" code=""MAIED$"" num=""40315"" />",,,,,,
40316,,,"","MAICL$",,"<topic human="""" code=""MAICL$"" num=""40316"" />",,,,,,
40317,,,"","MAICK$",,"<topic human="""" code=""MAICK$"" num=""40317"" />",,,,,,
40318,,,"","MAICJ$",,"<topic human="""" code=""MAICJ$"" num=""40318"" />",,,,,,
40319,,,"","MAICH$",,"<topic human="""" code=""MAICH$"" num=""40319"" />",,,,,,
40320,,,"","MAICB$",,"<topic human="""" code=""MAICB$"" num=""40320"" />",,,,,,
40321,,,"","MAIBZ$",,"<topic human="""" code=""MAIBZ$"" num=""40321"" />",,,,,,
40322,,,"","MAIBW$",,"<topic human="""" code=""MAIBW$"" num=""40322"" />",,,,,,
40323,,,"","MAIBV$",,"<topic human="""" code=""MAIBV$"" num=""40323"" />",,,,,,
40324,,,"","MAIBU$",,"<topic human="""" code=""MAIBU$"" num=""40324"" />",,,,,,
40325,,,"","MAIBT$",,"<topic human="""" code=""MAIBT$"" num=""40325"" />",,,,,,
40326,,,"","MAIBS$",,"<topic human="""" code=""MAIBS$"" num=""40326"" />",,,,,,
40327,,,"","MAIBR$",,"<topic human="""" code=""MAIBR$"" num=""40327"" />",,,,,,
40328,,,"","MAIBQ$",,"<topic human="""" code=""MAIBQ$"" num=""40328"" />",,,,,,
40329,,,"","MAIBP$",,"<topic human="""" code=""MAIBP$"" num=""40329"" />",,,,,,
40330,,,"","MAIBO$",,"<topic human="""" code=""MAIBO$"" num=""40330"" />",,,,,,
40331,,,"","MAIAO$",,"<topic human="""" code=""MAIAO$"" num=""40331"" />",,,,,,
40332,,,"","MAIAL$",,"<topic human="""" code=""MAIAL$"" num=""40332"" />",,,,,,
40333,,,"","MAIAK$",,"<topic human="""" code=""MAIAK$"" num=""40333"" />",,,,,,
40334,,,"","MAIAJ$",,"<topic human="""" code=""MAIAJ$"" num=""40334"" />",,,,,,
40335,,,"","MAIAE$",,"<topic human="""" code=""MAIAE$"" num=""40335"" />",,,,,,
40336,,,"","MAIAD$",,"<topic human="""" code=""MAIAD$"" num=""40336"" />",,,,,,
40337,,,"","MAIAB$",,"<topic human="""" code=""MAIAB$"" num=""40337"" />",,,,,,
40338,,,"","MAIAA$",,"<topic human="""" code=""MAIAA$"" num=""40338"" />",,,,,,
40339,,,"","MAGU8$",,"<topic human="""" code=""MAGU8$"" num=""40339"" />",,,,,,
40340,,,"","MAGU2$",,"<topic human="""" code=""MAGU2$"" num=""40340"" />",,,,,,
40341,,,"","MAGTB$",,"<topic human="""" code=""MAGTB$"" num=""40341"" />",,,,,,
40342,,,"","MAGSH$",,"<topic human="""" code=""MAGSH$"" num=""40342"" />",,,,,,
40343,,,"","MAGSD$",,"<topic human="""" code=""MAGSD$"" num=""40343"" />",,,,,,
40344,,,"","MAGSC$",,"<topic human="""" code=""MAGSC$"" num=""40344"" />",,,,,,
40345,,,"","MAGSA$",,"<topic human="""" code=""MAGSA$"" num=""40345"" />",,,,,,
40346,,,"","MAGPK$",,"<topic human="""" code=""MAGPK$"" num=""40346"" />",,,,,,
40347,,,"","MAGPJ$",,"<topic human="""" code=""MAGPJ$"" num=""40347"" />",,,,,,
40348,,,"","MAGPI$",,"<topic human="""" code=""MAGPI$"" num=""40348"" />",,,,,,
40349,,,"","MAGPE$",,"<topic human="""" code=""MAGPE$"" num=""40349"" />",,,,,,
40350,,,"","MAGPB$",,"<topic human="""" code=""MAGPB$"" num=""40350"" />",,,,,,
40351,,,"","MAGOW$",,"<topic human="""" code=""MAGOW$"" num=""40351"" />",,,,,,
40352,,,"","MAGOV$",,"<topic human="""" code=""MAGOV$"" num=""40352"" />",,,,,,
40353,,,"","MAGOU$",,"<topic human="""" code=""MAGOU$"" num=""40353"" />",,,,,,
40354,,,"","MAGON$",,"<topic human="""" code=""MAGON$"" num=""40354"" />",,,,,,
40355,,,"","MAGOK$",,"<topic human="""" code=""MAGOK$"" num=""40355"" />",,,,,,
40356,,,"","MAGOH$",,"<topic human="""" code=""MAGOH$"" num=""40356"" />",,,,,,
40357,,,"","MAGIY$",,"<topic human="""" code=""MAGIY$"" num=""40357"" />",,,,,,
40358,,,"","MAGIS$",,"<topic human="""" code=""MAGIS$"" num=""40358"" />",,,,,,
40359,,,"","MAGIR$",,"<topic human="""" code=""MAGIR$"" num=""40359"" />",,,,,,
40360,,,"","MAGIE$",,"<topic human="""" code=""MAGIE$"" num=""40360"" />",,,,,,
40361,,,"","MAGID$",,"<topic human="""" code=""MAGID$"" num=""40361"" />",,,,,,
40362,,,"","MAGCW$",,"<topic human="""" code=""MAGCW$"" num=""40362"" />",,,,,,
40363,,,"","MAGCS$",,"<topic human="""" code=""MAGCS$"" num=""40363"" />",,,,,,
40364,,,"","MAGCN$",,"<topic human="""" code=""MAGCN$"" num=""40364"" />",,,,,,
40365,,,"","MAGCH$",,"<topic human="""" code=""MAGCH$"" num=""40365"" />",,,,,,
40366,,,"","MAGCB$",,"<topic human="""" code=""MAGCB$"" num=""40366"" />",,,,,,
40367,,,"","MAGAW$",,"<topic human="""" code=""MAGAW$"" num=""40367"" />",,,,,,
40368,,,"","MAGAV$",,"<topic human="""" code=""MAGAV$"" num=""40368"" />",,,,,,
40369,,,"","MAGAU$",,"<topic human="""" code=""MAGAU$"" num=""40369"" />",,,,,,
40370,,,"","MAGAQ$",,"<topic human="""" code=""MAGAQ$"" num=""40370"" />",,,,,,
40371,,,"","MAGAP$",,"<topic human="""" code=""MAGAP$"" num=""40371"" />",,,,,,
40372,,,"","MAGAO$",,"<topic human="""" code=""MAGAO$"" num=""40372"" />",,,,,,
40373,,,"","MAGAN$",,"<topic human="""" code=""MAGAN$"" num=""40373"" />",,,,,,
40374,,,"","MAGAM$",,"<topic human="""" code=""MAGAM$"" num=""40374"" />",,,,,,
40375,,,"","MAGAI$",,"<topic human="""" code=""MAGAI$"" num=""40375"" />",,,,,,
40376,,,"","MAGAH$",,"<topic human="""" code=""MAGAH$"" num=""40376"" />",,,,,,
40377,,,"","MAGAC$",,"<topic human="""" code=""MAGAC$"" num=""40377"" />",,,,,,
40378,,,"","MAFDU$",,"<topic human="""" code=""MAFDU$"" num=""40378"" />",,,,,,
40379,,,"","MAFCS$",,"<topic human="""" code=""MAFCS$"" num=""40379"" />",,,,,,
40380,,,"","MAFCJ$",,"<topic human="""" code=""MAFCJ$"" num=""40380"" />",,,,,,
40381,,,"","MAFCH$",,"<topic human="""" code=""MAFCH$"" num=""40381"" />",,,,,,
40382,,,"","MAFCG$",,"<topic human="""" code=""MAFCG$"" num=""40382"" />",,,,,,
40383,,,"","MAFBK$",,"<topic human="""" code=""MAFBK$"" num=""40383"" />",,,,,,
40384,,,"","MAFBJ$",,"<topic human="""" code=""MAFBJ$"" num=""40384"" />",,,,,,
40385,,,"","MAFBF$",,"<topic human="""" code=""MAFBF$"" num=""40385"" />",,,,,,
40386,,,"","MAFBE$",,"<topic human="""" code=""MAFBE$"" num=""40386"" />",,,,,,
40387,,,"","MAFAT$",,"<topic human="""" code=""MAFAT$"" num=""40387"" />",,,,,,
40388,,,"","MAFAQ$",,"<topic human="""" code=""MAFAQ$"" num=""40388"" />",,,,,,
40389,,,"","MAFAO$",,"<topic human="""" code=""MAFAO$"" num=""40389"" />",,,,,,
40390,,,"","MAFAL$",,"<topic human="""" code=""MAFAL$"" num=""40390"" />",,,,,,
40391,,,"","MAFAK$",,"<topic human="""" code=""MAFAK$"" num=""40391"" />",,,,,,
40392,,,"","MAFAJ$",,"<topic human="""" code=""MAFAJ$"" num=""40392"" />",,,,,,
40393,,,"","MAFAH$",,"<topic human="""" code=""MAFAH$"" num=""40393"" />",,,,,,
40394,,,"","MACWI$",,"<topic human="""" code=""MACWI$"" num=""40394"" />",,,,,,
40395,,,"","MACRM$",,"<topic human="""" code=""MACRM$"" num=""40395"" />",,,,,,
40396,,,"","MACMF$",,"<topic human="""" code=""MACMF$"" num=""40396"" />",,,,,,
40397,,,"","MACLI$",,"<topic human="""" code=""MACLI$"" num=""40397"" />",,,,,,
40398,,,"","MACHW$",,"<topic human="""" code=""MACHW$"" num=""40398"" />",,,,,,
