"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
20058,,,,"F=ECOREV",,"<topic human="""" code=""F=ECOREV"" num=""20058"" />",,,,,,
20059,"FI Data Review",,,"F=BULWC2",,"<topic human=""FI Data Review"" code=""F=BULWC2"" num=""20059"" />",,,,,,
20060,"US Repo Market Rates",,,"F=USTORR",,"<topic human=""US Repo Market Rates"" code=""F=USTORR"" num=""20060"" />",,,,,,
20061,"Weekly Roundup",,,"F=WKRUSD",,"<topic human=""Weekly Roundup"" code=""F=WKRUSD"" num=""20061"" />",,,,,,
20062,,,,"F=EUIFHI",,"<topic human="""" code=""F=EUIFHI"" num=""20062"" />",,,,,,
20063,,,,"F=EAWTCH",,"<topic human="""" code=""F=EAWTCH"" num=""20063"" />",,,,,,
20064,,,,"F=ECBPLY",,"<topic human="""" code=""F=ECBPLY"" num=""20064"" />",,,,,,
20065,,,,"F=ITXCAL",,"<topic human="""" code=""F=ITXCAL"" num=""20065"" />",,,,,,
20066,,,,"F=ITICAL",,"<topic human="""" code=""F=ITICAL"" num=""20066"" />",,,,,,
20067,"Italy Data Calendar",,,"F=ITACAL",,"<topic human=""Italy Data Calendar"" code=""F=ITACAL"" num=""20067"" />",,,,,,
20068,"Reality Check",,,"F=MNREAL",,"<topic human=""Reality Check"" code=""F=MNREAL"" num=""20068"" />",,,,,,
20069,,,,"F=EXSCAL",,"<topic human="""" code=""F=EXSCAL"" num=""20069"" />",,,,,,
20070,,,,"F=EUXCAL",,"<topic human="""" code=""F=EUXCAL"" num=""20070"" />",,,,,,
20071,"Euro Economic Calendar",,,"F=EUSCAL",,"<topic human=""Euro Economic Calendar"" code=""F=EUSCAL"" num=""20071"" />",,,,,,
20072,"FX Expectations Survey",,,"F=EUWFEX",,"<topic human=""FX Expectations Survey"" code=""F=EUWFEX"" num=""20072"" />",,,,,,
20073,,,,"F=EUFXEX",,"<topic human="""" code=""F=EUFXEX"" num=""20073"" />",,,,,,
20074,,,,"F=FRXCAL",,"<topic human="""" code=""F=FRXCAL"" num=""20074"" />",,,,,,
20075,,,,"F=FRICAL",,"<topic human="""" code=""F=FRICAL"" num=""20075"" />",,,,,,
20076,"France Data Calendar",,,"F=FRACAL",,"<topic human=""France Data Calendar"" code=""F=FRACAL"" num=""20076"" />",,,,,,
20077,,,,"F=EFORC3",,"<topic human="""" code=""F=EFORC3"" num=""20077"" />",,,,,,
20078,,,,"F=GEXSHI",,"<topic human="""" code=""F=GEXSHI"" num=""20078"" />",,,,,,
20079,"Germany Forecast Highlights",,,"F=GERSHI",,"<topic human=""Germany Forecast Highlights"" code=""F=GERSHI"" num=""20079"" />",,,,,,
20080,"Germany Forecast Survey",,,"F=GERSF1",,"<topic human=""Germany Forecast Survey"" code=""F=GERSF1"" num=""20080"" />",,,,,,
20081,,,,"F=GEISHI",,"<topic human="""" code=""F=GEISHI"" num=""20081"" />",,,,,,
20082,,,,"F=FRXSHI",,"<topic human="""" code=""F=FRXSHI"" num=""20082"" />",,,,,,
20083,,,,"F=FRISHI",,"<topic human="""" code=""F=FRISHI"" num=""20083"" />",,,,,,
20084,"France Forecast Highlights",,,"F=FRASHI",,"<topic human=""France Forecast Highlights"" code=""F=FRASHI"" num=""20084"" />",,,,,,
20085,,,,"F=BUNCOM",,"<topic human="""" code=""F=BUNCOM"" num=""20085"" />",,,,,,
20086,"Italy Forecast Survey",,,"F=ITALSU",,"<topic human=""Italy Forecast Survey"" code=""F=ITALSU"" num=""20086"" />",,,,,,
20087,"Italy Key Indicators Summary",,,"F=ITACDT",,"<topic human=""Italy Key Indicators Summary"" code=""F=ITACDT"" num=""20087"" />",,,,,,
20088,"France Forecast Survey",,,"F=FRASF1",,"<topic human=""France Forecast Survey"" code=""F=FRASF1"" num=""20088"" />",,,,,,
20089,"ECB State of Play",,,"F=BUNPLY",,"<topic human=""ECB State of Play"" code=""F=BUNPLY"" num=""20089"" />",,,,,,
20090,,,,"F=BUIPLY",,"<topic human="""" code=""F=BUIPLY"" num=""20090"" />",,,,,,
20091,"Italy Forecast Highlights",,,"F=ITALHI",,"<topic human=""Italy Forecast Highlights"" code=""F=ITALHI"" num=""20091"" />",,,,,,
20092,"Central Bank Actions",,,"F=CENCTA",,"<topic human=""Central Bank Actions"" code=""F=CENCTA"" num=""20092"" />",,,,,,
20093,"Central Bank Actions",,,"F=CENCAT",,"<topic human=""Central Bank Actions"" code=""F=CENCAT"" num=""20093"" />",,,,,,
20094,"Central Bank Actions",,,"F=CENACT",,"<topic human=""Central Bank Actions"" code=""F=CENACT"" num=""20094"" />",,,,,,"**"
20095,"France Key Indicators Summary",,,"F=FRACDT",,"<topic human=""France Key Indicators Summary"" code=""F=FRACDT"" num=""20095"" />",,,,,,
20096,"Germany Key Indicators Summary",,,"F=GERCDT",,"<topic human=""Germany Key Indicators Summary"" code=""F=GERCDT"" num=""20096"" />",,,,,,
20097,"Euro/UK Bond Calendar",,,"F=EZBCAL",,"<topic human=""Euro/UK Bond Calendar"" code=""F=EZBCAL"" num=""20097"" />",,,,,,
20098,"Forecast Survey",,,"F=EUZSFC",,"<topic human=""Forecast Survey"" code=""F=EUZSFC"" num=""20098"" />",,,,,,
20099,"Eurozone/UK Bond Calendar",,,"F=EBNCAL",,"<topic human=""Eurozone/UK Bond Calendar"" code=""F=EBNCAL"" num=""20099"" />",,,,,,
20100,"Japanese Economic Calendar",,,"F=JPXCOR",,"<topic human=""Japanese Economic Calendar"" code=""F=JPXCOR"" num=""20100"" />",,,,,,
20101,,,,"F=JPICOR",,"<topic human="""" code=""F=JPICOR"" num=""20101"" />",,,,,,
20102,,,,"F=JPECOR",,"<topic human="""" code=""F=JPECOR"" num=""20102"" />",,,,,,
20103,"Europe Key Indicators Summary",,,"F=EUDSTA",,"<topic human=""Europe Key Indicators Summary"" code=""F=EUDSTA"" num=""20103"" />",,,,,,
20104,"Europe Forecast Highlights",,,"F=EZSVHI",,"<topic human=""Europe Forecast Highlights"" code=""F=EZSVHI"" num=""20104"" />",,,,,,
20105,,,,"F=ESXFHI",,"<topic human="""" code=""F=ESXFHI"" num=""20105"" />",,,,,,
20106,"Euro Credit Pipeline",,,"F=WASWAT",,"<topic human=""Euro Credit Pipeline"" code=""F=WASWAT"" num=""20106"" />",,,,,,
20107,"Spain Forecast Survey",,,"F=SPASUR",,"<topic human=""Spain Forecast Survey"" code=""F=SPASUR"" num=""20107"" />",,,,,,
20108,"Spain Data Calendar",,,"F=SPACAL",,"<topic human=""Spain Data Calendar"" code=""F=SPACAL"" num=""20108"" />",,,,,,
20109,"Government Bond Focus",,,"F=EUSPRD",,"<topic human=""Government Bond Focus"" code=""F=EUSPRD"" num=""20109"" />",,,,,,
20110,"Spain Forecast Highlights",,,"F=SPAIHI",,"<topic human=""Spain Forecast Highlights"" code=""F=SPAIHI"" num=""20110"" />",,,,,,
20111,,,,"F=EUSPRX",,"<topic human="""" code=""F=EUSPRX"" num=""20111"" />",,,,,,
20112,"BOE State of Play",,,"F=BOEPLY",,"<topic human=""BOE State of Play"" code=""F=BOEPLY"" num=""20112"" />",,,,,,
20113,,,,"F=UUICA0",,"<topic human="""" code=""F=UUICA0"" num=""20113"" />",,,,,,
20114,"Spain Key Indicators Summary",,,"F=SPACDT",,"<topic human=""Spain Key Indicators Summary"" code=""F=SPACDT"" num=""20114"" />",,,,,,
20115,"Corporate Bond Chatter",,,"F=DATWTC",,"<topic human=""Corporate Bond Chatter"" code=""F=DATWTC"" num=""20115"" />",,,,,,
20116,"UK Forecast Survey",,,"F=UKSFC1",,"<topic human=""UK Forecast Survey"" code=""F=UKSFC1"" num=""20116"" />",,,,,,
20117,,,,"F=BULBOE",,"<topic human="""" code=""F=BULBOE"" num=""20117"" />",,,,,,
20118,,,,"F=BOIPLY",,"<topic human="""" code=""F=BOIPLY"" num=""20118"" />",,,,,,
20119,,,,"F=FEXPLY",,"<topic human="""" code=""F=FEXPLY"" num=""20119"" />",,,,,,
20220,"Fed State of Play",,,"F=BULWC3",,"<topic human=""Fed State of Play"" code=""F=BULWC3"" num=""20220"" />",,,,,,
20221,"Latin America Watch",,,"F=LAWTCH",,"<topic human=""Latin America Watch"" code=""F=LAWTCH"" num=""20221"" />",,,,,,
20222,,,,"F=FIVIEX",,"<topic human="""" code=""F=FIVIEX"" num=""20222"" />",,,,,,
20223,"The FXSpot",,,"F=ETRENC",,"<topic human=""The FXSpot"" code=""F=ETRENC"" num=""20223"" />",,,,,,
20224,"Congress Watch",,,"F=CAPWTC",,"<topic human=""Congress Watch"" code=""F=CAPWTC"" num=""20224"" />",,,,,,
20225,,,,"F=UPHIA0",,"<topic human="""" code=""F=UPHIA0"" num=""20225"" />",,,,,,
20226,,,,"F=UNAPA0",,"<topic human="""" code=""F=UNAPA0"" num=""20226"" />",,,,,,
20227,,,,"F=UCHIA0",,"<topic human="""" code=""F=UCHIA0"" num=""20227"" />",,,,,,
20228,,,,"F=UTRDA0",,"<topic human="""" code=""F=UTRDA0"" num=""20228"" />",,,,,,
20229,,,,"F=UWHLA0",,"<topic human="""" code=""F=UWHLA0"" num=""20229"" />",,,,,,
20230,,,,"F=USFHA0",,"<topic human="""" code=""F=USFHA0"" num=""20230"" />",,,,,,
20231,,,,"F=ULEIA0",,"<topic human="""" code=""F=ULEIA0"" num=""20231"" />",,,,,,
20232,,,,"F=UGDPA0",,"<topic human="""" code=""F=UGDPA0"" num=""20232"" />",,,,,,
20233,,,,"F=UEHSA0",,"<topic human="""" code=""F=UEHSA0"" num=""20233"" />",,,,,,
20234,,,,"F=UCPIA0",,"<topic human="""" code=""F=UCPIA0"" num=""20234"" />",,,,,,
20235,,,,"F=UCFDA0",,"<topic human="""" code=""F=UCFDA0"" num=""20235"" />",,,,,,
20236,"Portfolios",,,"F=MNPORT",,"<topic human=""Portfolios"" code=""F=MNPORT"" num=""20236"" />",,,,,,
20237,,,,"F=UTA020",,"<topic human="""" code=""F=UTA020"" num=""20237"" />",,,,,,
20238,,,,"F=UPPIA0",,"<topic human="""" code=""F=UPPIA0"" num=""20238"" />",,,,,,
20239,,,,"F=UPERA0",,"<topic human="""" code=""F=UPERA0"" num=""20239"" />",,,,,,
20240,,,,"F=UKSFC2",,"<topic human="""" code=""F=UKSFC2"" num=""20240"" />",,,,,,
20241,,,,"F=UFACA0",,"<topic human="""" code=""F=UFACA0"" num=""20241"" />",,,,,,
20242,,,,"F=UEMPA0",,"<topic human="""" code=""F=UEMPA0"" num=""20242"" />",,,,,,
20243,,,,"F=UDRGA0",,"<topic human="""" code=""F=UDRGA0"" num=""20243"" />",,,,,,
20244,,,,"F=UCSTA0",,"<topic human="""" code=""F=UCSTA0"" num=""20244"" />",,,,,,
20245,,,,"F=URETA0",,"<topic human="""" code=""F=URETA0"" num=""20245"" />",,,,,,
20246,,,,"F=UKSFC3",,"<topic human="""" code=""F=UKSFC3"" num=""20246"" />",,,,,,
20247,,,,"F=UHSEA0",,"<topic human="""" code=""F=UHSEA0"" num=""20247"" />",,,,,,
20248,,,,"F=FIVIEY",,"<topic human="""" code=""F=FIVIEY"" num=""20248"" />",,,,,,
20249,,,,"F=FIVIEW",,"<topic human="""" code=""F=FIVIEW"" num=""20249"" />",,,,,,
20250,,,,"F=UTA050",,"<topic human="""" code=""F=UTA050"" num=""20250"" />",,,,,,
20251,,,,"F=UPRDA0",,"<topic human="""" code=""F=UPRDA0"" num=""20251"" />",,,,,,
20252,,,,"F=UIPRA0",,"<topic human="""" code=""F=UIPRA0"" num=""20252"" />",,,,,,
20253,,,,"F=UINVA0",,"<topic human="""" code=""F=UINVA0"" num=""20253"" />",,,,,,
